Datetime,kobuki_bat,powerbank_bat,position_x,position_y,throughput_upload,throughput_download,cpu_usage,ram_usage,completed_service_name,completed_service_duration
34:05.0,,,0.075005926,-0.01006791,,,,,,
34:05.0,,,,,8608.219727,,,,,
34:05.2,,,0.075005937,-0.010067892,,,,,,
34:05.2,,,0.075005933,-0.010067899,,,,,,
34:05.3,,,,,9492.142578,,,,,
34:05.3,,,,,,25.515625,,,,
34:05.3,,,0.075005934,-0.010067898,,,,,,
34:05.3,,,,,7412.204102,,,,,
34:05.3,,,,,,14.08886719,,,,
34:05.4,,,0.075005935,-0.010067896,,,,,,
34:05.7,,,0.075005936,-0.010067894,,,,,,
34:05.7,,,0.075005927,-0.010067908,,,,,,
34:05.7,,,,,,24.13964844,,,,
34:05.9,,,,,,,,,,
34:06.0,,,0.075005937,-0.010067893,,,,,,
34:06.0,,,0.075005933,-0.010067898,,,,,,
34:07.0,,,,,,,,,,
34:07.2,,,0.074391767,-0.007733797,,,,,,
34:07.2,,,0.07439177,-0.007733789,,,,,,
34:07.2,,,0.074391772,-0.007733782,,,,,,
34:07.2,,,0.074391775,-0.007733774,,,,,,
34:07.2,,,0.074391783,-0.007733751,,,,,,
34:07.2,,,0.074391784,-0.00773375,,,,,,
34:07.2,,,0.075070235,-0.006283528,,,,,,
34:07.2,,,0.075070236,-0.006283524,,,,,,
34:07.2,,,0.075070242,-0.006283509,,,,,,
34:07.2,,,,,6405.956055,,,,,
34:07.2,,,,,,92.97070313,,,,
34:07.2,,,0.075070248,-0.006283495,,,,,,
34:07.4,,,,,8760.259766,,,,,
34:07.4,,,,,,43.3984375,,,,
34:07.9,,,,,,,,,,
34:09.0,,,,,,,,,,
34:09.7,,,0.075770107,-0.009411462,,,,,,
34:09.7,,,0.07577011,-0.009411464,,,,,,
34:09.7,,,0.075770114,-0.009411467,,,,,,
34:09.8,,,0.075770121,-0.009411473,,,,,,
34:09.8,,,0.075770123,-0.009411473,,,,,,
34:09.8,,,0.075770124,-0.009411474,,,,,,
34:09.8,,,0.075770126,-0.009411476,,,,,,
34:09.8,,,,,7432.355469,,,,,
34:09.8,,,,,,32.83789063,,,,
34:09.8,,,0.075770129,-0.009411478,,,,,,
34:09.8,,,0.075770132,-0.00941148,,,,,,
34:09.9,,,0.075770134,-0.009411482,,,,,,
34:09.9,88.4848,63.77,,,,,95.9,8.18737152,,
34:09.9,,,,,,,,,,
34:10.8,,,,,8763.708008,,,,,
34:10.8,,,,,,15.88574219,,,,
34:10.8,,,,,8067.728516,,,,,
34:10.9,,,,,,14.34667969,,,,
34:11.0,,,,,,,,,,
34:12.2,,,,,,,,,,
34:12.4,,,0.082839892,-0.012917105,,,,,,
34:12.4,,,0.082839894,-0.012917106,,,,,,
34:12.5,,,0.082839906,-0.012917112,,,,,,
34:12.5,,,0.076917261,-0.007128334,,,,,,
34:12.5,,,0.07691726,-0.007128325,,,,,,
34:12.5,,,0.076917258,-0.007128317,,,,,,
34:12.5,,,0.076917257,-0.007128309,,,,,,
34:12.5,,,0.076917256,-0.007128301,,,,,,
34:12.5,,,0.076917253,-0.007128284,,,,,,
34:12.5,,,0.076917251,-0.007128277,,,,,,
34:12.6,,,,,7458.916992,,,,,
34:12.6,,,,,,14.65820313,,,,
34:12.6,,,,,7546.773438,,,,,
34:12.6,,,,,,25.8515625,,,,
34:12.7,88.4848,64.17,,,,,94.7,8.18737152,,
34:12.7,,,,,6887.177734,,,,,
34:12.7,,,,,,59.03222656,,,,
34:12.7,88.4848,64.17,,,,,100,8.18737152,,
34:12.9,,,,,,,,,,
34:14.0,,,,,,,,,,
34:14.7,,,0.076308386,-0.007437692,,,,,,
34:14.7,,,0.075969453,-0.006218492,,,,,,
34:14.7,,,0.07596945,-0.006218486,,,,,,
34:14.8,,,0.075969445,-0.006218475,,,,,,
34:14.8,,,0.075969444,-0.006218474,,,,,,
34:14.8,,,0.075969442,-0.006218468,,,,,,
34:14.8,,,0.075969437,-0.006218457,,,,,,
34:14.8,,,0.075969433,-0.006218446,,,,,,
34:14.9,,,0.075969432,-0.006218446,,,,,,
34:14.9,,,0.075969432,-0.006218445,,,,,,
34:15.2,,,,,8434.484375,,,,,
34:15.2,,,,,,37.58496094,,,,
34:15.2,,,,,7254.967773,,,,,
34:15.2,,,,,,45.46777344,,,,
34:15.5,,,,,,,,,,
34:15.9,,,,,,,,,,
34:16.5,,,0.076387544,-0.009162521,,,,,,
34:16.5,,,0.076387544,-0.009162523,,,,,,
34:16.5,,,0.076387544,-0.009162527,,,,,,
34:16.5,,,0.076387544,-0.00916253,,,,,,
34:16.6,,,0.076387544,-0.009162534,,,,,,
34:16.6,,,0.075979597,-0.010465421,,,,,,
34:16.7,,,0.075979596,-0.010465432,,,,,,
34:16.7,,,,,5880.296875,,,,,
34:16.7,,,,,,29.07324219,,,,
34:16.7,,,0.075979595,-0.01046544,,,,,,
34:16.7,,,0.075979594,-0.010465445,,,,,,
34:16.7,,,0.075979592,-0.010465459,,,,,,
34:16.8,,,,,6658.924805,,,,,
34:16.8,,,,,,20.13867188,,,,
34:16.9,,,,,,,,,,
34:17.9,,,,,,,,,,
34:18.1,,,0.07517106,-0.008078988,,,,,,
34:18.1,,,0.075171061,-0.008078988,,,,,,
34:18.1,,,0.075171059,-0.008078986,,,,,,
34:18.2,,,0.075171057,-0.008078983,,,,,,
34:18.2,,,0.075171055,-0.008078981,,,,,,
34:18.2,,,0.075171054,-0.008078979,,,,,,
34:18.3,,,,,6276.257813,,,,,
34:18.3,,,,,,14.63085938,,,,
34:18.4,88.4848,63.85,,,,,95.6,8.18737152,,
34:18.6,,,0.075171072,-0.008079003,,,,,,
34:18.8,,,0.07517107,-0.008079001,,,,,,
34:18.8,,,0.075171069,-0.008079,,,,,,
34:18.8,,,0.075171064,-0.008078993,,,,,,
34:18.9,,,,,,,,,,
34:19.8,,,0.074759877,-0.010154634,,,,,,
34:19.8,,,0.074759875,-0.010154636,,,,,,
34:19.8,,,0.074759872,-0.010154638,,,,,,
34:19.8,,,0.07475987,-0.010154641,,,,,,
34:19.8,,,0.074759865,-0.010154645,,,,,,
34:19.8,,,0.074759862,-0.010154647,,,,,,
34:19.8,,,0.074759862,-0.010154647,,,,,,
34:19.8,,,,,8132.180664,,,,,
34:19.8,,,,,,14.85742188,,,,
34:19.8,,,0.07475986,-0.010154649,,,,,,
34:19.8,,,0.074759858,-0.01015465,,,,,,
34:19.8,,,0.074759856,-0.010154652,,,,,,
34:19.9,,,,,,,,,,
34:20.5,,,,,7443.344727,,,,,
34:20.5,,,,,,34.03515625,,,,
34:20.9,,,,,,,,,,
34:21.6,,,0.076790326,-0.011445509,,,,,,
34:21.6,,,0.076790328,-0.011445511,,,,,,
34:21.7,,,0.07679033,-0.011445513,,,,,,
34:21.7,,,0.076790332,-0.011445515,,,,,,
34:21.7,,,0.076790334,-0.011445517,,,,,,
34:21.7,,,0.076790338,-0.011445522,,,,,,
34:21.7,,,0.076790338,-0.011445522,,,,,,
34:21.7,,,0.080277941,-0.014918018,,,,,,
